price,bed,bath,acre_lot,zip_code,house_size,state,acres_in_feet,total_size_ft
180000,2,1,0.34,1001,676,MA,14810.4,15486.4
169900,2,2,0,1001,892,MA,0,892
242000,2,2,0,1001,1428,MA,0,1428
299950,2,2,0,1001,1659,MA,0,1659
239900,3,1,0.46,1001,1196,MA,20037.6,21233.6
525000,3,3,0.45,1001,2314,MA,19602,21916
289900,3,2,0.36,1001,1276,MA,15681.6,16957.6
239900,2,3,0,1001,1229,MA,0,1229
249900,2,1,0,1001,860,MA,0,860
275000,4,2,0.11,1001,1732,MA,4791.6,6523.6
335000,6,2,0.24,1001,1800,MA,10454.4,12254.4
200000,2,2,0,1001,1136,MA,0,1136
384900,3,2,0.46,1001,1476,MA,20037.6,21513.6
175000,2,2,0,1001,1056,MA,0,1056
195000,2,2,0,1001,960,MA,0,960
239900,2,2,0,1001,1386,MA,0,1386
779900,4,3,1.63,1001,2910,MA,71002.8,73912.8
199999,3,2,1.76,1001,1968,MA,76665.6,78633.6
489900,3,2,0,1001,1880,MA,0,1880
489900,3,2,0,1001,1880,MA,0,1880
489900,3,2,0,1001,1880,MA,0,1880
489900,3,2,0,1001,1880,MA,0,1880
489900,3,2,0,1001,1880,MA,0,1880
419000,4,2,2,1002,1607,MA,87120,88727
745000,4,3,0.56,1002,2847,MA,24393.6,27240.6
875000,4,4,1.5,1002,4366,MA,65340,69706
699900,4,4,0.77,1002,3879,MA,33541.2,37420.2
275000,3,2,0.16,1002,1280,MA,6969.6,8249.6
880000,6,5,0.39,1002,3246,MA,16988.4,20234.4
425000,3,1,1.39,1002,1748,MA,60548.4,62296.4
415000,4,2,0.49,1002,1814,MA,21344.4,23158.4
232000,2,1,0,1002,899,MA,0,899
390000,3,2,0.5,1002,1128,MA,21780,22908
865000,4,3,0.65,1002,3465,MA,28314,31779
499900,4,3,0.46,1002,2143,MA,20037.6,22180.6
619900,4,3,0,1002,3200,MA,0,3200
650000,5,4,0.64,1002,2363,MA,27878.4,30241.4
449900,4,3,0.25,1002,1764,MA,10890,12654
234900,2,2,0,1002,979,MA,0,979
975000,3,4,3.04,1002,2074,MA,132422.4,134496.4
439900,3,2,0.2,1002,1349,MA,8712,10061
495000,3,2,0.73,1002,1559,MA,31798.8,33357.8
350000,2,1,2,1341,1600,MA,87120,88720
180000,4,2,0.33,1338,2246,MA,14374.8,16620.8
397000,2,2,0.51,1033,2000,MA,22215.6,24215.6
150000,4,3,0.63,1301,2624,MA,27442.8,30066.8
105000,3,1,0.14,1062,1072,MA,6098.4,7170.4
289000,5,2,0.27,1376,3008,MA,11761.2,14769.2
184900,3,1,0.31,1151,1252,MA,13503.6,14755.6
389900,2,2,0.92,1093,1723,MA,40075.2,41798.2
459900,4,3,3.8,1375,2768,MA,165528,168296
249900,4,3,0.29,1020,1514,MA,12632.4,14146.4
324900,4,2,0.56,1033,1523,MA,24393.6,25916.6
364900,3,2,1.02,1007,1617,MA,44431.2,46048.2
240000,2,1,0.28,1013,1207,MA,12196.8,13403.8
224900,2,1,0.4,1075,1034,MA,17424,18458
442500,3,2,0.52,1035,2039,MA,22651.2,24690.2
279900,4,4,0.11,1104,1908,MA,4791.6,6699.6
299500,3,2,0.11,1056,2240,MA,4791.6,7031.6
175000,2,1,0,1022,884,MA,0,884
300000,3,2,0.51,1027,1541,MA,22215.6,23756.6
469900,3,3,1.82,1364,2096,MA,79279.2,81375.2
269900,4,2,0.22,1013,1314,MA,9583.2,10897.2
295000,4,2,0.3,1075,2112,MA,13068,15180
374900,8,4,0.11,1013,4356,MA,4791.6,9147.6
339000,6,2,0.23,1040,2399,MA,10018.8,12417.8
399900,3,2,0.23,1020,1844,MA,10018.8,11862.8
275000,2,2,0.05,1013,1200,MA,2178,3378
579900,4,3,0.41,1027,2590,MA,17859.6,20449.6
365000,3,2,0.3,1040,1880,MA,13068,14948
215000,1,1,0.31,1007,640,MA,13503.6,14143.6
1249900,4,5,1.36,1073,4140,MA,59241.6,63381.6
499000,3,2,0.14,1062,1728,MA,6098.4,7826.4
489900,3,2,0.12,1060,1531,MA,5227.2,6758.2
359000,4,4,0.23,1013,1764,MA,10018.8,11782.8
389999,3,2,0.23,1020,1712,MA,10018.8,11730.8
229900,2,1,0,1007,864,MA,0,864
525000,3,2,1.54,1062,1630,MA,67082.4,68712.4
499900,2,2,0,1027,1576,MA,0,1576
545000,2,2,0,1060,1700,MA,0,1700
539900,3,3,0,1027,1909,MA,0,1909
65000,1,1,0.4,1005,634,MA,17424,18058
